arm,rho,seed,shift,abs_ce_bias_bits_disclosed,measurement,value_bits,quantity,distribution,fit_distribution,not_an_entropy,licensed,license_ref,definition,n_fit,n_eval,k_folds,se_bits,n_unseen_labels
naive,0.7,2,anticorrelate,,delta_info,0.19341291302738112,delta_info,Q-vs-P,,True,True,"expB-masking-real-v1 §5.1 planted-posterior PASS (CE*-DIFFERENCE recovery; absolutes are raw_heldout_CE, bias≈0.371 bits disclosed)",CEhat_Q_refit - CEhat_ID; estimates CE*_A(Q) - CE*_A(P) (information-accessibility change under shift). Licensed as a CE* DIFFERENCE by the §5.9 amended selftest; the absolute operands are raw_heldout_CE (common-mode bias≈0.371 bits cancels).,,,,,
naive,0.7,2,anticorrelate,,delta_transfer,0.02459811455198402,delta_transfer,Q,,True,True,"expB-masking-real-v1 §5.1 planted-posterior PASS (CE*-DIFFERENCE recovery; absolutes are raw_heldout_CE, bias≈0.371 bits disclosed)","CE_Q_frozen - CEhat_Q_refit; transfer risk of the frozen P-fit interface (deployment property; never an entropy, never 'information loss')",,,,,
naive,0.7,3,decorrelate,0.3707726255084636,CEhat_ID,0.3215947822271749,raw_heldout_CE,P,P,True,False,,,5000,5000,,,
naive,0.7,3,decorrelate,,CE_Q_frozen,0.6824894237025926,CE_Q(r_P),Q,P,True,True,definitional: the empirical CE of the frozen P-fit readout under Q estimates quantity (4) directly (sampling error only),,5000,5000,,,0
naive,0.7,3,decorrelate,0.3707726255084636,CEhat_Q_refit,0.559756417648912,raw_heldout_CE,Q,Q,True,False,,,,5000,5,0.012989274894079007,
naive,0.7,3,decorrelate,,delta_info,0.23816163542173713,delta_info,Q-vs-P,,True,True,"expB-masking-real-v1 §5.1 planted-posterior PASS (CE*-DIFFERENCE recovery; absolutes are raw_heldout_CE, bias≈0.371 bits disclosed)",CEhat_Q_refit - CEhat_ID; estimates CE*_A(Q) - CE*_A(P) (information-accessibility change under shift). Licensed as a CE* DIFFERENCE by the §5.9 amended selftest; the absolute operands are raw_heldout_CE (common-mode bias≈0.371 bits cancels).,,,,,
naive,0.7,3,decorrelate,,delta_transfer,0.12273300605368054,delta_transfer,Q,,True,True,"expB-masking-real-v1 §5.1 planted-posterior PASS (CE*-DIFFERENCE recovery; absolutes are raw_heldout_CE, bias≈0.371 bits disclosed)","CE_Q_frozen - CEhat_Q_refit; transfer risk of the frozen P-fit interface (deployment property; never an entropy, never 'information loss')",,,,,
naive,0.7,3,anticorrelate,0.3707726255084636,CEhat_ID,0.3215947822271749,raw_heldout_CE,P,P,True,False,,,5000,5000,,,
naive,0.7,3,anticorrelate,,CE_Q_frozen,0.5847926720642341,CE_Q(r_P),Q,P,True,True,definitional: the empirical CE of the frozen P-fit readout under Q estimates quantity (4) directly (sampling error only),,5000,5000,,,0
naive,0.7,3,anticorrelate,0.3707726255084636,CEhat_Q_refit,0.4978094710523412,raw_heldout_CE,Q,Q,True,False,,,,5000,5,0.026534425560498964,
naive,0.7,3,anticorrelate,,delta_info,0.17621468882516628,delta_info,Q-vs-P,,True,True,"expB-masking-real-v1 §5.1 planted-posterior PASS (CE*-DIFFERENCE recovery; absolutes are raw_heldout_CE, bias≈0.371 bits disclosed)",CEhat_Q_refit - CEhat_ID; estimates CE*_A(Q) - CE*_A(P) (information-accessibility change under shift). Licensed as a CE* DIFFERENCE by the §5.9 amended selftest; the absolute operands are raw_heldout_CE (common-mode bias≈0.371 bits cancels).,,,,,
naive,0.7,3,anticorrelate,,delta_transfer,0.08698320101189294,delta_transfer,Q,,True,True,"expB-masking-real-v1 §5.1 planted-posterior PASS (CE*-DIFFERENCE recovery; absolutes are raw_heldout_CE, bias≈0.371 bits disclosed)","CE_Q_frozen - CEhat_Q_refit; transfer risk of the frozen P-fit interface (deployment property; never an entropy, never 'information loss')",,,,,
naive,0.7,4,decorrelate,0.3707726255084636,CEhat_ID,0.30791039140670656,raw_heldout_CE,P,P,True,False,,,5000,5000,,,
naive,0.7,4,decorrelate,,CE_Q_frozen,0.6451342572147396,CE_Q(r_P),Q,P,True,True,definitional: the empirical CE of the frozen P-fit readout under Q estimates quantity (4) directly (sampling error only),,5000,5000,,,0
naive,0.7,4,decorrelate,0.3707726255084636,CEhat_Q_refit,0.5652927979584506,raw_heldout_CE,Q,Q,True,False,,,,5000,5,0.011663771333533829,
naive,0.7,4,decorrelate,,delta_info,0.257382406551744,delta_info,Q-vs-P,,True,True,"expB-masking-real-v1 §5.1 planted-posterior PASS (CE*-DIFFERENCE recovery; absolutes are raw_heldout_CE, bias≈0.371 bits disclosed)",CEhat_Q_refit - CEhat_ID; estimates CE*_A(Q) - CE*_A(P) (information-accessibility change under shift). Licensed as a CE* DIFFERENCE by the §5.9 amended selftest; the absolute operands are raw_heldout_CE (common-mode bias≈0.371 bits cancels).,,,,,
naive,0.7,4,decorrelate,,delta_transfer,0.07984145925628905,delta_transfer,Q,,True,True,"expB-masking-real-v1 §5.1 planted-posterior PASS (CE*-DIFFERENCE recovery; absolutes are raw_heldout_CE, bias≈0.371 bits disclosed)","CE_Q_frozen - CEhat_Q_refit; transfer risk of the frozen P-fit interface (deployment property; never an entropy, never 'information loss')",,,,,
naive,0.7,4,anticorrelate,0.3707726255084636,CEhat_ID,0.30791039140670656,raw_heldout_CE,P,P,True,False,,,5000,5000,,,
naive,0.7,4,anticorrelate,,CE_Q_frozen,0.5388604246272802,CE_Q(r_P),Q,P,True,True,definitional: the empirical CE of the frozen P-fit readout under Q estimates quantity (4) directly (sampling error only),,5000,5000,,,0
naive,0.7,4,anticorrelate,0.3707726255084636,CEhat_Q_refit,0.5017915401454432,raw_heldout_CE,Q,Q,True,False,,,,5000,5,0.013921481487706952,
naive,0.7,4,anticorrelate,,delta_info,0.19388114873873669,delta_info,Q-vs-P,,True,True,"expB-masking-real-v1 §5.1 planted-posterior PASS (CE*-DIFFERENCE recovery; absolutes are raw_heldout_CE, bias≈0.371 bits disclosed)",CEhat_Q_refit - CEhat_ID; estimates CE*_A(Q) - CE*_A(P) (information-accessibility change under shift). Licensed as a CE* DIFFERENCE by the §5.9 amended selftest; the absolute operands are raw_heldout_CE (common-mode bias≈0.371 bits cancels).,,,,,
naive,0.7,4,anticorrelate,,delta_transfer,0.03706888448183698,delta_transfer,Q,,True,True,"expB-masking-real-v1 §5.1 planted-posterior PASS (CE*-DIFFERENCE recovery; absolutes are raw_heldout_CE, bias≈0.371 bits disclosed)","CE_Q_frozen - CEhat_Q_refit; transfer risk of the frozen P-fit interface (deployment property; never an entropy, never 'information loss')",,,,,
naive,0.7,5,decorrelate,0.3707726255084636,CEhat_ID,0.3198638794633266,raw_heldout_CE,P,P,True,False,,,5000,5000,,,
naive,0.7,5,decorrelate,,CE_Q_frozen,0.6414349786502368,CE_Q(r_P),Q,P,True,True,definitional: the empirical CE of the frozen P-fit readout under Q estimates quantity (4) directly (sampling error only),,5000,5000,,,0
naive,0.7,5,decorrelate,0.3707726255084636,CEhat_Q_refit,0.5603576729383327,raw_heldout_CE,Q,Q,True,False,,,,5000,5,0.01837786218454882,
naive,0.7,5,decorrelate,,delta_info,0.2404937934750061,delta_info,Q-vs-P,,True,True,"expB-masking-real-v1 §5.1 planted-posterior PASS (CE*-DIFFERENCE recovery; absolutes are raw_heldout_CE, bias≈0.371 bits disclosed)",CEhat_Q_refit - CEhat_ID; estimates CE*_A(Q) - CE*_A(P) (information-accessibility change under shift). Licensed as a CE* DIFFERENCE by the §5.9 amended selftest; the absolute operands are raw_heldout_CE (common-mode bias≈0.371 bits cancels).,,,,,
naive,0.7,5,decorrelate,,delta_transfer,0.08107730571190408,delta_transfer,Q,,True,True,"expB-masking-real-v1 §5.1 planted-posterior PASS (CE*-DIFFERENCE recovery; absolutes are raw_heldout_CE, bias≈0.371 bits disclosed)","CE_Q_frozen - CEhat_Q_refit; transfer risk of the frozen P-fit interface (deployment property; never an entropy, never 'information loss')",,,,,
naive,0.7,5,anticorrelate,0.3707726255084636,CEhat_ID,0.3198638794633266,raw_heldout_CE,P,P,True,False,,,5000,5000,,,
naive,0.7,5,anticorrelate,,CE_Q_frozen,0.5389366679440756,CE_Q(r_P),Q,P,True,True,definitional: the empirical CE of the frozen P-fit readout under Q estimates quantity (4) directly (sampling error only),,5000,5000,,,0
naive,0.7,5,anticorrelate,0.3707726255084636,CEhat_Q_refit,0.5127472542087059,raw_heldout_CE,Q,Q,True,False,,,,5000,5,0.01501283769482754,
naive,0.7,5,anticorrelate,,delta_info,0.1928833747453793,delta_info,Q-vs-P,,True,True,"expB-masking-real-v1 §5.1 planted-posterior PASS (CE*-DIFFERENCE recovery; absolutes are raw_heldout_CE, bias≈0.371 bits disclosed)",CEhat_Q_refit - CEhat_ID; estimates CE*_A(Q) - CE*_A(P) (information-accessibility change under shift). Licensed as a CE* DIFFERENCE by the §5.9 amended selftest; the absolute operands are raw_heldout_CE (common-mode bias≈0.371 bits cancels).,,,,,
naive,0.7,5,anticorrelate,,delta_transfer,0.02618941373536965,delta_transfer,Q,,True,True,"expB-masking-real-v1 §5.1 planted-posterior PASS (CE*-DIFFERENCE recovery; absolutes are raw_heldout_CE, bias≈0.371 bits disclosed)","CE_Q_frozen - CEhat_Q_refit; transfer risk of the frozen P-fit interface (deployment property; never an entropy, never 'information loss')",,,,,
naive,0.7,6,decorrelate,0.3707726255084636,CEhat_ID,0.3240905751435322,raw_heldout_CE,P,P,True,False,,,5000,5000,,,
naive,0.7,6,decorrelate,,CE_Q_frozen,0.6883736933879852,CE_Q(r_P),Q,P,True,True,definitional: the empirical CE of the frozen P-fit readout under Q estimates quantity (4) directly (sampling error only),,5000,5000,,,0
naive,0.7,6,decorrelate,0.3707726255084636,CEhat_Q_refit,0.573587904936297,raw_heldout_CE,Q,Q,True,False,,,,5000,5,0.013104990904128363,
naive,0.7,6,decorrelate,,delta_info,0.2494973297927648,delta_info,Q-vs-P,,True,True,"expB-masking-real-v1 §5.1 planted-posterior PASS (CE*-DIFFERENCE recovery; absolutes are raw_heldout_CE, bias≈0.371 bits disclosed)",CEhat_Q_refit - CEhat_ID; estimates CE*_A(Q) - CE*_A(P) (information-accessibility change under shift). Licensed as a CE* DIFFERENCE by the §5.9 amended selftest; the absolute operands are raw_heldout_CE (common-mode bias≈0.371 bits cancels).,,,,,
naive,0.7,6,decorrelate,,delta_transfer,0.11478578845168819,delta_transfer,Q,,True,True,"expB-masking-real-v1 §5.1 planted-posterior PASS (CE*-DIFFERENCE recovery; absolutes are raw_heldout_CE, bias≈0.371 bits disclosed)","CE_Q_frozen - CEhat_Q_refit; transfer risk of the frozen P-fit interface (deployment property; never an entropy, never 'information loss')",,,,,
naive,0.7,6,anticorrelate,0.3707726255084636,CEhat_ID,0.3240905751435322,raw_heldout_CE,P,P,True,False,,,5000,5000,,,
naive,0.7,6,anticorrelate,,CE_Q_frozen,0.570211924584873,CE_Q(r_P),Q,P,True,True,definitional: the empirical CE of the frozen P-fit readout under Q estimates quantity (4) directly (sampling error only),,5000,5000,,,0
naive,0.7,6,anticorrelate,0.3707726255084636,CEhat_Q_refit,0.504475993824592,raw_heldout_CE,Q,Q,True,False,,,,5000,5,0.02221036141032294,
naive,0.7,6,anticorrelate,,delta_info,0.18038541868105978,delta_info,Q-vs-P,,True,True,"expB-masking-real-v1 §5.1 planted-posterior PASS (CE*-DIFFERENCE recovery; absolutes are raw_heldout_CE, bias≈0.371 bits disclosed)",CEhat_Q_refit - CEhat_ID; estimates CE*_A(Q) - CE*_A(P) (information-accessibility change under shift). Licensed as a CE* DIFFERENCE by the §5.9 amended selftest; the absolute operands are raw_heldout_CE (common-mode bias≈0.371 bits cancels).,,,,,
naive,0.7,6,anticorrelate,,delta_transfer,0.06573593076028106,delta_transfer,Q,,True,True,"expB-masking-real-v1 §5.1 planted-posterior PASS (CE*-DIFFERENCE recovery; absolutes are raw_heldout_CE, bias≈0.371 bits disclosed)","CE_Q_frozen - CEhat_Q_refit; transfer risk of the frozen P-fit interface (deployment property; never an entropy, never 'information loss')",,,,,
naive,0.7,7,decorrelate,0.3707726255084636,CEhat_ID,0.3271956068629702,raw_heldout_CE,P,P,True,False,,,5000,5000,,,
naive,0.7,7,decorrelate,,CE_Q_frozen,0.656222559994394,CE_Q(r_P),Q,P,True,True,definitional: the empirical CE of the frozen P-fit readout under Q estimates quantity (4) directly (sampling error only),,5000,5000,,,0
naive,0.7,7,decorrelate,0.3707726255084636,CEhat_Q_refit,0.5596147499889603,raw_heldout_CE,Q,Q,True,False,,,,5000,5,0.013312238995108574,
naive,0.7,7,decorrelate,,delta_info,0.2324191431259901,delta_info,Q-vs-P,,True,True,"expB-masking-real-v1 §5.1 planted-posterior PASS (CE*-DIFFERENCE recovery; absolutes are raw_heldout_CE, bias≈0.371 bits disclosed)",CEhat_Q_refit - CEhat_ID; estimates CE*_A(Q) - CE*_A(P) (information-accessibility change under shift). Licensed as a CE* DIFFERENCE by the §5.9 amended selftest; the absolute operands are raw_heldout_CE (common-mode bias≈0.371 bits cancels).,,,,,
naive,0.7,7,decorrelate,,delta_transfer,0.09660781000543373,delta_transfer,Q,,True,True,"expB-masking-real-v1 §5.1 planted-posterior PASS (CE*-DIFFERENCE recovery; absolutes are raw_heldout_CE, bias≈0.371 bits disclosed)","CE_Q_frozen - CEhat_Q_refit; transfer risk of the frozen P-fit interface (deployment property; never an entropy, never 'information loss')",,,,,
naive,0.7,7,anticorrelate,0.3707726255084636,CEhat_ID,0.3271956068629702,raw_heldout_CE,P,P,True,False,,,5000,5000,,,
naive,0.7,7,anticorrelate,,CE_Q_frozen,0.5294639853515253,CE_Q(r_P),Q,P,True,True,definitional: the empirical CE of the frozen P-fit readout under Q estimates quantity (4) directly (sampling error only),,5000,5000,,,0
naive,0.7,7,anticorrelate,0.3707726255084636,CEhat_Q_refit,0.4937223355584579,raw_heldout_CE,Q,Q,True,False,,,,5000,5,0.015793950962855876,
naive,0.7,7,anticorrelate,,delta_info,0.16652672869548768,delta_info,Q-vs-P,,True,True,"expB-masking-real-v1 §5.1 planted-posterior PASS (CE*-DIFFERENCE recovery; absolutes are raw_heldout_CE, bias≈0.371 bits disclosed)",CEhat_Q_refit - CEhat_ID; estimates CE*_A(Q) - CE*_A(P) (information-accessibility change under shift). Licensed as a CE* DIFFERENCE by the §5.9 amended selftest; the absolute operands are raw_heldout_CE (common-mode bias≈0.371 bits cancels).,,,,,
naive,0.7,7,anticorrelate,,delta_transfer,0.035741649793067376,delta_transfer,Q,,True,True,"expB-masking-real-v1 §5.1 planted-posterior PASS (CE*-DIFFERENCE recovery; absolutes are raw_heldout_CE, bias≈0.371 bits disclosed)","CE_Q_frozen - CEhat_Q_refit; transfer risk of the frozen P-fit interface (deployment property; never an entropy, never 'information loss')",,,,,
naive,0.7,8,decorrelate,0.3707726255084636,CEhat_ID,0.3035585997392318,raw_heldout_CE,P,P,True,False,,,5000,5000,,,
naive,0.7,8,decorrelate,,CE_Q_frozen,0.6332029780191605,CE_Q(r_P),Q,P,True,True,definitional: the empirical CE of the frozen P-fit readout under Q estimates quantity (4) directly (sampling error only),,5000,5000,,,0
naive,0.7,8,decorrelate,0.3707726255084636,CEhat_Q_refit,0.5511960622778409,raw_heldout_CE,Q,Q,True,False,,,,5000,5,0.030950549011166704,
naive,0.7,8,decorrelate,,delta_info,0.24763746253860908,delta_info,Q-vs-P,,True,True,"expB-masking-real-v1 §5.1 planted-posterior PASS (CE*-DIFFERENCE recovery; absolutes are raw_heldout_CE, bias≈0.371 bits disclosed)",CEhat_Q_refit - CEhat_ID; estimates CE*_A(Q) - CE*_A(P) (information-accessibility change under shift). Licensed as a CE* DIFFERENCE by the §5.9 amended selftest; the absolute operands are raw_heldout_CE (common-mode bias≈0.371 bits cancels).,,,,,
naive,0.7,8,decorrelate,,delta_transfer,0.08200691574131957,delta_transfer,Q,,True,True,"expB-masking-real-v1 §5.1 planted-posterior PASS (CE*-DIFFERENCE recovery; absolutes are raw_heldout_CE, bias≈0.371 bits disclosed)","CE_Q_frozen - CEhat_Q_refit; transfer risk of the frozen P-fit interface (deployment property; never an entropy, never 'information loss')",,,,,
naive,0.7,8,anticorrelate,0.3707726255084636,CEhat_ID,0.3035585997392318,raw_heldout_CE,P,P,True,False,,,5000,5000,,,
naive,0.7,8,anticorrelate,,CE_Q_frozen,0.5147192060950889,CE_Q(r_P),Q,P,True,True,definitional: the empirical CE of the frozen P-fit readout under Q estimates quantity (4) directly (sampling error only),,5000,5000,,,0
naive,0.7,8,anticorrelate,0.3707726255084636,CEhat_Q_refit,0.47922585057128264,raw_heldout_CE,Q,Q,True,False,,,,5000,5,0.013711383160923934,
naive,0.7,8,anticorrelate,,delta_info,0.17566725083205081,delta_info,Q-vs-P,,True,True,"expB-masking-real-v1 §5.1 planted-posterior PASS (CE*-DIFFERENCE recovery; absolutes are raw_heldout_CE, bias≈0.371 bits disclosed)",CEhat_Q_refit - CEhat_ID; estimates CE*_A(Q) - CE*_A(P) (information-accessibility change under shift). Licensed as a CE* DIFFERENCE by the §5.9 amended selftest; the absolute operands are raw_heldout_CE (common-mode bias≈0.371 bits cancels).,,,,,
naive,0.7,8,anticorrelate,,delta_transfer,0.03549335552380628,delta_transfer,Q,,True,True,"expB-masking-real-v1 §5.1 planted-posterior PASS (CE*-DIFFERENCE recovery; absolutes are raw_heldout_CE, bias≈0.371 bits disclosed)","CE_Q_frozen - CEhat_Q_refit; transfer risk of the frozen P-fit interface (deployment property; never an entropy, never 'information loss')",,,,,
naive,0.7,9,decorrelate,0.3707726255084636,CEhat_ID,0.3158445339369084,raw_heldout_CE,P,P,True,False,,,5000,5000,,,
naive,0.7,9,decorrelate,,CE_Q_frozen,0.7305696641880249,CE_Q(r_P),Q,P,True,True,definitional: the empirical CE of the frozen P-fit readout under Q estimates quantity (4) directly (sampling error only),,5000,5000,,,0
naive,0.7,9,decorrelate,0.3707726255084636,CEhat_Q_refit,0.6044963042913353,raw_heldout_CE,Q,Q,True,False,,,,5000,5,0.021957025907465226,
naive,0.7,9,decorrelate,,delta_info,0.28865177035442685,delta_info,Q-vs-P,,True,True,"expB-masking-real-v1 §5.1 planted-posterior PASS (CE*-DIFFERENCE recovery; absolutes are raw_heldout_CE, bias≈0.371 bits disclosed)",CEhat_Q_refit - CEhat_ID; estimates CE*_A(Q) - CE*_A(P) (information-accessibility change under shift). Licensed as a CE* DIFFERENCE by the §5.9 amended selftest; the absolute operands are raw_heldout_CE (common-mode bias≈0.371 bits cancels).,,,,,
naive,0.7,9,decorrelate,,delta_transfer,0.12607335989668966,delta_transfer,Q,,True,True,"expB-masking-real-v1 §5.1 planted-posterior PASS (CE*-DIFFERENCE recovery; absolutes are raw_heldout_CE, bias≈0.371 bits disclosed)","CE_Q_frozen - CEhat_Q_refit; transfer risk of the frozen P-fit interface (deployment property; never an entropy, never 'information loss')",,,,,
naive,0.7,9,anticorrelate,0.3707726255084636,CEhat_ID,0.3158445339369084,raw_heldout_CE,P,P,True,False,,,5000,5000,,,
naive,0.7,9,anticorrelate,,CE_Q_frozen,0.5704500520030789,CE_Q(r_P),Q,P,True,True,definitional: the empirical CE of the frozen P-fit readout under Q estimates quantity (4) directly (sampling error only),,5000,5000,,,0
naive,0.7,9,anticorrelate,0.3707726255084636,CEhat_Q_refit,0.4980592694017371,raw_heldout_CE,Q,Q,True,False,,,,5000,5,0.023614495141919104,
naive,0.7,9,anticorrelate,,delta_info,0.1822147354648287,delta_info,Q-vs-P,,True,True,"expB-masking-real-v1 §5.1 planted-posterior PASS (CE*-DIFFERENCE recovery; absolutes are raw_heldout_CE, bias≈0.371 bits disclosed)",CEhat_Q_refit - CEhat_ID; estimates CE*_A(Q) - CE*_A(P) (information-accessibility change under shift). Licensed as a CE* DIFFERENCE by the §5.9 amended selftest; the absolute operands are raw_heldout_CE (common-mode bias≈0.371 bits cancels).,,,,,
naive,0.7,9,anticorrelate,,delta_transfer,0.07239078260134174,delta_transfer,Q,,True,True,"expB-masking-real-v1 §5.1 planted-posterior PASS (CE*-DIFFERENCE recovery; absolutes are raw_heldout_CE, bias≈0.371 bits disclosed)","CE_Q_frozen - CEhat_Q_refit; transfer risk of the frozen P-fit interface (deployment property; never an entropy, never 'information loss')",,,,,
